order_id,order_date,country_id,category_id,amount
71,2019-01-01,43,4,2516.00
72,2019-01-01,46,5,6554.00
73,2019-01-01,21,5,5442.00
74,2019-01-01,38,2,5636.00
75,2019-01-01,5,5,7826.00
76,2019-01-01,4,3,6510.00
77,2019-01-01,13,5,7453.00
78,2019-01-01,18,5,5742.00
79,2019-01-01,56,2,6774.00
80,2019-01-01,30,2,511.00
81,2019-01-01,10,5,984.00
82,2019-01-01,32,5,5695.00
83,2019-01-01,24,1,3475.00
84,2019-01-01,51,2,2612.00
85,2019-01-01,33,1,5225.00
86,2019-01-01,36,5,1968.00
87,2019-01-01,53,3,7330.00
88,2019-01-01,23,4,6128.00
89,2019-01-01,2,1,912.00
90,2019-01-01,46,4,1178.00
91,2019-01-01,4,1,6308.00
92,2019-01-01,55,3,1055.00
93,2019-01-01,25,3,7350.00
94,2019-01-01,44,4,7329.00
95,2019-01-01,54,3,462.00
96,2019-01-01,23,1,5482.00
97,2019-01-01,56,5,185.00
98,2019-01-01,9,3,1974.00
99,2019-01-01,31,1,4358.00
100,2019-01-01,6,3,1871.00
101,2019-01-01,13,4,4784.00
102,2019-01-01,44,1,479.00
103,2019-01-01,56,1,5479.00
104,2019-01-01,20,4,7683.00
105,2019-01-01,50,4,2384.00
106,2019-01-01,10,4,3005.00
107,2019-01-01,8,2,5560.00
108,2019-01-01,37,4,893.00
109,2019-01-01,12,2,2201.00
110,2019-01-01,45,2,5867.00
111,2019-01-01,3,2,6015.00
112,2019-01-01,3,5,6974.00
113,2019-01-01,43,2,789.00
114,2019-01-01,35,2,3050.00
115,2019-01-01,47,4,5290.00
116,2019-01-01,26,2,3860.00
117,2019-01-01,51,5,2405.00
118,2019-01-01,48,1,4392.00
119,2019-01-01,42,5,5582.00
120,2019-01-01,31,5,3318.00
121,2019-01-01,1,3,1156.00
122,2019-01-01,2,4,4894.00
123,2019-01-01,1,2,2008.00
124,2019-01-01,14,2,332.00
125,2019-01-01,1,4,6705.00
126,2019-01-01,27,1,3381.00
127,2019-01-01,47,1,6245.00
128,2019-01-01,16,1,2714.00
129,2019-01-01,7,2,859.00
130,2019-01-01,26,4,3883.00
131,2019-01-01,17,2,5077.00
132,2019-01-01,17,5,5491.00
133,2019-01-01,15,2,1881.00
134,2019-01-01,3,3,2758.00
135,2019-01-01,47,5,5661.00
136,2019-01-01,43,5,6723.00
137,2019-01-01,27,3,6302.00
138,2019-01-01,20,1,5898.00
139,2019-01-01,15,1,4192.00
140,2019-01-01,5,3,2823.00
141,2019-01-01,49,4,1359.00
142,2019-01-01,34,3,7662.00
143,2019-01-01,31,4,4617.00
144,2019-01-01,10,1,2840.00
145,2019-01-01,2,2,6348.00
146,2019-01-01,41,4,4119.00
147,2019-01-01,5,4,4018.00
148,2019-01-01,53,5,5346.00
149,2019-01-01,54,2,7993.00
150,2019-01-01,14,3,2443.00
151,2019-01-01,4,4,4118.00
152,2019-01-01,19,4,7736.00
153,2019-01-01,52,1,5449.00
154,2019-01-01,41,1,7702.00
155,2019-01-01,22,2,1279.00
156,2019-01-01,14,1,6467.00
157,2019-01-01,55,4,920.00
158,2019-01-01,52,3,6309.00
159,2019-01-01,14,5,4495.00
160,2019-01-01,26,3,312.00
161,2019-01-01,11,4,3546.00
162,2019-01-01,8,1,4737.00
163,2019-01-01,54,5,6103.00
164,2019-01-01,39,5,68.00
165,2019-01-01,45,4,4863.00
166,2019-01-01,55,2,3487.00
167,2019-01-01,26,5,1285.00
168,2019-01-01,24,3,7025.00
169,2019-01-01,37,2,6616.00
170,2019-01-01,53,2,87.00
171,2019-01-01,45,5,6725.00
172,2019-01-01,7,4,3115.00
173,2019-01-01,38,1,1992.00
174,2019-01-01,46,3,1700.00
175,2019-01-01,41,2,4740.00
176,2019-01-01,49,5,7121.00
177,2019-01-01,38,3,5255.00
178,2019-01-01,37,5,1598.00
179,2019-01-01,16,5,3901.00
180,2019-01-01,21,2,6704.00
181,2019-01-01,49,3,4663.00
182,2019-01-01,13,2,352.00
183,2019-01-01,10,2,2637.00
184,2019-01-01,51,3,5648.00
185,2019-01-01,17,3,6092.00
186,2019-01-01,43,3,7587.00
187,2019-01-01,45,1,1840.00
188,2019-01-01,42,3,6334.00
189,2019-01-01,34,5,7366.00
190,2019-01-01,4,5,4330.00
191,2019-01-01,21,4,2172.00
192,2019-01-01,6,2,3094.00
193,2019-01-01,5,2,7199.00
194,2019-01-01,15,4,4260.00
195,2019-01-01,56,4,3828.00
196,2019-01-01,27,2,1067.00
197,2019-01-01,23,5,4977.00
198,2019-01-01,54,1,3542.00
199,2019-01-01,55,5,1821.00
200,2019-01-01,24,5,7919.00
201,2019-01-01,19,3,1544.00
202,2019-01-01,38,4,7599.00
203,2019-01-01,25,1,6092.00
204,2019-01-01,56,3,5071.00
205,2019-01-01,42,4,4682.00
206,2019-01-01,29,3,6187.00
207,2019-01-01,29,5,237.00
208,2019-01-01,23,2,1377.00
209,2019-01-01,40,1,1718.00
210,2019-01-01,20,2,6411.00
211,2019-01-01,52,2,7575.00
212,2019-01-01,30,5,2984.00
213,2019-01-01,51,4,4330.00
214,2019-01-01,46,2,1424.00
215,2019-01-01,34,4,6272.00
216,2019-01-01,50,2,7725.00
217,2019-01-01,50,5,4150.00
218,2019-01-01,44,3,4307.00
219,2019-01-01,47,3,2151.00
220,2019-01-01,12,4,5485.00
221,2019-01-01,16,4,4383.00
222,2019-01-01,6,5,3405.00
223,2019-01-01,9,1,4552.00
224,2019-01-01,29,1,3587.00
225,2019-01-01,41,3,1162.00
226,2019-01-01,18,4,1533.00
227,2019-01-01,8,4,5149.00
228,2019-01-01,29,2,2012.00
229,2019-01-01,3,4,1857.00
230,2019-01-01,16,2,7718.00
231,2019-01-01,26,1,4720.00
232,2019-01-01,7,3,5612.00
233,2019-01-01,39,3,2309.00
234,2019-01-01,17,1,1566.00
235,2019-01-01,12,1,7707.00
236,2019-01-01,19,5,630.00
237,2019-01-01,3,1,2288.00
238,2019-01-01,45,3,3650.00
239,2019-01-01,32,1,2609.00
240,2019-01-01,21,1,3084.00
241,2019-01-01,40,5,7139.00
242,2019-01-01,41,5,7623.00
243,2019-01-01,22,3,6152.00
244,2019-01-01,16,3,3364.00
245,2019-01-01,30,1,1331.00
246,2019-01-01,28,1,3992.00
247,2019-01-01,48,3,3841.00
248,2019-01-01,40,4,2731.00
249,2019-01-01,53,1,1666.00
250,2019-01-01,39,2,3710.00
251,2019-01-01,28,5,147.00
252,2019-01-01,5,1,1489.00
253,2019-01-01,39,1,4654.00
254,2019-01-01,13,3,4552.00
255,2019-01-01,8,5,6883.00
256,2019-01-01,49,2,605.00
257,2019-01-01,33,5,3524.00
258,2019-01-01,9,5,2304.00
259,2019-01-01,33,2,4120.00
260,2019-01-01,22,1,2419.00
261,2019-01-01,27,4,4148.00
262,2019-01-01,39,4,6774.00
263,2019-01-01,32,3,707.00
264,2019-01-01,34,1,674.00
265,2019-01-01,7,5,3349.00
266,2019-01-01,7,1,6786.00
267,2019-01-01,2,5,1949.00
268,2019-01-01,8,3,6409.00
269,2019-01-01,46,1,6126.00
270,2019-01-01,48,2,3992.00
271,2019-01-01,44,5,321.00
272,2019-01-01,35,4,391.00
273,2019-01-01,2,3,4118.00
274,2019-01-01,52,5,7036.00
275,2019-01-01,43,1,5258.00
276,2019-01-01,54,4,4041.00
277,2019-01-01,21,3,1110.00
278,2019-01-02,20,1,2736.00
279,2019-01-02,46,4,3337.00
280,2019-01-02,29,3,6562.00
281,2019-01-02,22,5,7412.00
282,2019-01-02,39,5,3526.00
283,2019-01-02,23,4,7331.00
284,2019-01-02,15,3,4194.00
285,2019-01-02,45,3,1722.00
286,2019-01-02,43,4,5549.00
287,2019-01-02,11,3,947.00
288,2019-01-02,47,4,924.00
289,2019-01-02,3,2,7134.00
290,2019-01-02,55,2,3069.00
291,2019-01-02,5,4,1690.00
292,2019-01-02,53,3,5286.00
293,2019-01-02,54,5,1938.00
294,2019-01-02,26,3,688.00
295,2019-01-02,6,1,1546.00
296,2019-01-02,52,5,4000.00
297,2019-01-02,24,5,6591.00
298,2019-01-02,18,3,1676.00
299,2019-01-02,24,1,2177.00
300,2019-01-02,47,5,3527.00
301,2019-01-02,49,4,2622.00
302,2019-01-02,27,5,3623.00
303,2019-01-02,23,5,7152.00
304,2019-01-02,22,2,2638.00
305,2019-01-02,39,4,7534.00
306,2019-01-02,46,5,2103.00
307,2019-01-02,3,1,5068.00
308,2019-01-02,49,2,1938.00
309,2019-01-02,4,4,6694.00
310,2019-01-02,38,1,1999.00
311,2019-01-02,32,3,2086.00
312,2019-01-02,45,5,6521.00
313,2019-01-02,51,3,6830.00
314,2019-01-02,34,5,6058.00
315,2019-01-02,27,3,584.00
316,2019-01-02,44,3,7396.00
317,2019-01-02,27,2,2036.00
318,2019-01-02,53,1,6261.00
319,2019-01-02,26,2,2044.00
320,2019-01-02,3,4,4914.00
321,2019-01-02,13,2,590.00
322,2019-01-02,16,3,7770.00
323,2019-01-02,2,4,3180.00
324,2019-01-02,41,3,1857.00
325,2019-01-02,4,1,5031.00
326,2019-01-02,56,3,4106.00
327,2019-01-02,27,4,4586.00
328,2019-01-02,23,1,2672.00
329,2019-01-02,22,1,1809.00
330,2019-01-02,20,2,4485.00
331,2019-01-02,34,4,7297.00
332,2019-01-02,50,3,1552.00
333,2019-01-02,11,5,3300.00
334,2019-01-02,13,3,5086.00
335,2019-01-02,22,3,2178.00
336,2019-01-02,37,2,3251.00
337,2019-01-02,48,5,3510.00
338,2019-01-02,10,3,2113.00
339,2019-01-02,19,5,6295.00
340,2019-01-02,43,1,1952.00
341,2019-01-02,44,5,1260.00
342,2019-01-02,19,1,3860.00
343,2019-01-02,12,4,66.00
344,2019-01-02,13,5,5003.00
345,2019-01-02,31,3,4566.00
346,2019-01-02,24,2,4482.00
347,2019-01-02,45,1,4480.00
348,2019-01-02,21,2,2835.00
349,2019-01-02,50,4,2308.00
350,2019-01-02,45,4,1101.00
351,2019-01-02,21,1,2691.00
352,2019-01-02,7,1,5531.00
353,2019-01-02,30,2,4409.00
354,2019-01-02,42,1,2373.00
355,2019-01-02,31,4,1536.00
356,2019-01-02,33,3,3427.00
357,2019-01-02,37,1,289.00
358,2019-01-02,54,2,1178.00
359,2019-01-02,38,4,4204.00
360,2019-01-02,28,2,6259.00
361,2019-01-02,25,3,5162.00
362,2019-01-02,29,2,4793.00
363,2019-01-02,4,2,1086.00
364,2019-01-02,46,2,7048.00
365,2019-01-02,15,4,5903.00
366,2019-01-02,54,4,3386.00
367,2019-01-02,30,4,6206.00
368,2019-01-02,25,5,3783.00
369,2019-01-02,5,1,1095.00
370,2019-01-02,2,2,3056.00
371,2019-01-02,41,5,2542.00
372,2019-01-02,51,5,7902.00
373,2019-01-02,8,5,3129.00
374,2019-01-02,12,5,7878.00
375,2019-01-02,40,5,7353.00
376,2019-01-02,28,4,6672.00
377,2019-01-02,42,2,7532.00
378,2019-01-02,37,4,1817.00
379,2019-01-02,43,5,5098.00
380,2019-01-02,30,5,2997.00
381,2019-01-02,24,4,2308.00
382,2019-01-02,15,5,2516.00
383,2019-01-02,1,5,6475.00
384,2019-01-02,6,4,4896.00
385,2019-01-02,17,5,5549.00
386,2019-01-02,29,5,6931.00
387,2019-01-02,41,2,2358.00
388,2019-01-02,10,5,5275.00
389,2019-01-02,23,2,7665.00
390,2019-01-02,1,3,4492.00
391,2019-01-02,28,1,967.00
392,2019-01-02,16,4,812.00
393,2019-01-02,35,4,6936.00
394,2019-01-02,2,5,7353.00
395,2019-01-02,42,4,2331.00
396,2019-01-02,40,4,3095.00
397,2019-01-02,56,5,2694.00
398,2019-01-02,53,2,660.00
399,2019-01-02,55,1,6169.00
400,2019-01-02,20,3,1846.00
401,2019-01-02,45,2,2074.00
402,2019-01-02,36,4,2397.00
403,2019-01-02,39,2,639.00
404,2019-01-02,37,5,5666.00
405,2019-01-02,35,5,3706.00
406,2019-01-02,8,2,4004.00
407,2019-01-02,19,4,2552.00
408,2019-01-02,49,3,3723.00
409,2019-01-02,1,2,1057.00
410,2019-01-02,16,1,2209.00
411,2019-01-02,52,3,7340.00
412,2019-01-02,8,4,1798.00
413,2019-01-02,25,4,18.00
414,2019-01-02,13,4,1756.00
415,2019-01-02,14,5,5891.00
416,2019-01-02,52,1,1539.00
417,2019-01-02,47,1,1410.00
418,2019-01-02,51,2,5838.00
419,2019-01-02,20,5,7554.00
420,2019-01-02,35,2,6037.00
421,2019-01-02,12,3,2362.00
422,2019-01-02,35,3,1263.00
423,2019-01-02,7,4,725.00
424,2019-01-02,33,5,2907.00
425,2019-01-02,18,5,1626.00
426,2019-01-02,42,3,692.00
427,2019-01-02,48,3,7379.00
428,2019-01-02,54,3,3549.00
429,2019-01-02,32,4,6067.00
430,2019-01-02,38,2,7753.00
431,2019-01-02,9,4,6808.00
432,2019-01-02,41,4,5558.00
433,2019-01-02,2,3,5923.00
434,2019-01-02,22,4,6113.00
435,2019-01-02,21,4,7022.00
436,2019-01-02,36,5,1610.00
437,2019-01-02,40,2,6728.00
438,2019-01-02,48,4,7789.00
439,2019-01-02,32,5,4459.00
440,2019-01-02,49,1,4658.00
441,2019-01-02,48,2,1025.00
442,2019-01-02,19,3,4612.00
443,2019-01-02,18,2,1261.00
444,2019-01-02,48,1,4684.00
445,2019-01-02,9,2,250.00
446,2019-01-02,5,3,6927.00
447,2019-01-02,24,3,6548.00
448,2019-01-02,30,1,2661.00
449,2019-01-02,9,1,1032.00
450,2019-01-02,25,1,232.00
451,2019-01-02,50,2,486.00
452,2019-01-02,34,2,4079.00
453,2019-01-02,16,5,1348.00
454,2019-01-02,49,5,2412.00
455,2019-01-02,40,3,7003.00
456,2019-01-02,32,2,815.00
457,2019-01-02,7,3,5851.00
458,2019-01-02,43,2,1647.00
459,2019-01-02,44,4,991.00
460,2019-01-02,38,3,7150.00
461,2019-01-02,46,3,5574.00
462,2019-01-02,5,2,7041.00
463,2019-01-02,55,3,1232.00
464,2019-01-02,17,3,1037.00
465,2019-01-02,47,3,2272.00
466,2019-01-02,52,4,4983.00
467,2019-01-02,15,1,4482.00
468,2019-01-02,6,2,3481.00
469,2019-01-02,31,2,4323.00
470,2019-01-02,28,5,3274.00
471,2019-01-02,36,1,4518.00
472,2019-01-02,43,3,2224.00
473,2019-01-02,36,2,6475.00
474,2019-01-02,37,3,6701.00
475,2019-01-02,9,5,7331.00
476,2019-01-02,26,1,1592.00
477,2019-01-02,26,4,6234.00
478,2019-01-02,31,5,5786.00
479,2019-01-02,8,3,266.00
480,2019-01-02,29,4,386.00
481,2019-01-02,19,2,1760.00
482,2019-01-02,26,5,755.00
483,2019-01-02,1,1,5404.00
484,2019-01-02,3,5,1535.00
485,2019-01-02,34,1,1962.00
486,2019-01-02,6,3,1210.00
487,2019-01-02,23,3,6985.00
488,2019-01-02,39,3,2610.00
489,2019-01-02,41,1,2189.00
490,2019-01-02,39,1,4858.00
491,2019-01-02,7,5,2284.00
492,2019-01-02,10,2,4167.00
493,2019-01-02,55,5,7330.00
494,2019-01-02,44,1,6882.00
495,2019-01-02,14,1,611.00
496,2019-01-02,56,1,7637.00
497,2019-01-02,3,3,2452.00
498,2019-01-02,11,2,5169.00
499,2019-01-02,4,3,3691.00
500,2019-01-02,46,1,6797.00
501,2019-01-02,16,2,1268.00
502,2019-01-02,14,4,7788.00
503,2019-01-02,7,2,2947.00
504,2019-01-02,17,2,3280.00
505,2019-01-02,54,1,3851.00
506,2019-01-02,53,4,7058.00
507,2019-01-02,18,1,5943.00
508,2019-01-02,55,4,4842.00
509,2019-01-02,40,1,1984.00
510,2019-01-02,8,1,113.00
511,2019-01-02,25,2,6606.00
512,2019-01-02,38,5,5141.00
513,2019-01-02,20,4,5962.00
514,2019-01-02,51,4,1941.00
515,2019-01-02,9,3,423.00
516,2019-01-02,34,3,328.00
517,2019-01-02,31,1,5152.00
518,2019-01-02,33,4,2848.00
519,2019-01-02,21,3,3050.00
520,2019-01-02,36,3,1626.00
521,2019-01-02,28,3,3864.00
522,2019-01-02,44,2,6003.00
523,2019-01-02,10,4,293.00
524,2019-01-02,33,1,347.00
525,2019-01-02,30,3,5006.00
526,2019-01-02,50,5,5538.00
527,2019-01-02,29,1,3602.00
528,2019-01-02,14,2,4016.00
529,2019-01-02,51,1,4687.00
530,2019-01-02,6,5,5179.00
531,2019-01-02,17,4,6915.00
532,2019-01-02,5,5,1177.00
533,2019-01-02,1,4,5976.00
534,2019-01-02,56,4,3395.00
535,2019-01-02,56,2,1126.00
536,2019-01-02,47,2,6297.00
537,2019-01-02,50,1,5226.00
538,2019-01-02,11,4,7260.00
539,2019-01-02,2,1,4501.00
540,2019-01-02,53,5,7632.00
541,2019-01-02,32,1,4117.00
542,2019-01-02,12,2,2153.00
543,2019-01-02,42,5,2203.00
544,2019-01-02,17,1,4600.00
545,2019-01-02,11,1,3304.00
546,2019-01-02,52,2,4612.00
547,2019-01-02,33,2,2374.00
548,2019-01-02,21,5,2568.00
549,2019-01-02,4,5,1852.00
550,2019-01-02,12,1,6517.00
551,2019-01-03,7,3,5493.00
552,2019-01-03,34,2,2402.00
553,2019-01-03,32,3,3551.00
554,2019-01-03,53,3,7699.00
555,2019-01-03,54,2,1347.00
556,2019-01-03,28,2,7697.00
557,2019-01-03,36,3,3429.00
558,2019-01-03,38,1,3062.00
559,2019-01-03,30,3,2338.00
560,2019-01-03,2,2,3976.00
561,2019-01-03,33,2,4144.00
562,2019-01-03,51,3,3934.00
563,2019-01-03,42,4,1520.00
564,2019-01-03,8,3,4171.00
565,2019-01-03,51,2,7612.00
566,2019-01-03,47,4,5450.00
567,2019-01-03,50,1,618.00
568,2019-01-03,8,4,1281.00
569,2019-01-03,48,4,1474.00
570,2019-01-03,17,1,6985.00
571,2019-01-03,31,3,1264.00
572,2019-01-03,44,3,3045.00
573,2019-01-03,24,5,1036.00
574,2019-01-03,47,5,5623.00
575,2019-01-03,11,1,4444.00
576,2019-01-03,50,4,5590.00
577,2019-01-03,9,2,5350.00
578,2019-01-03,2,1,6891.00
579,2019-01-03,48,2,1680.00
580,2019-01-03,49,4,7816.00
581,2019-01-03,37,1,154.00
582,2019-01-03,51,1,482.00
583,2019-01-03,42,1,22.00
584,2019-01-03,4,4,5823.00
585,2019-01-03,53,2,3684.00
586,2019-01-03,13,2,4359.00
587,2019-01-03,43,4,1767.00
588,2019-01-03,10,1,1956.00
589,2019-01-03,49,3,2983.00
590,2019-01-03,21,2,1277.00
591,2019-01-03,14,5,134.00
592,2019-01-03,12,4,6946.00
593,2019-01-03,10,3,5825.00
594,2019-01-03,31,5,6304.00
595,2019-01-03,9,5,5315.00
596,2019-01-03,48,3,3757.00
597,2019-01-03,21,3,5318.00
598,2019-01-03,44,5,4066.00
599,2019-01-03,21,4,6690.00
600,2019-01-03,44,2,4623.00
601,2019-01-03,32,1,753.00
602,2019-01-03,55,3,1123.00
603,2019-01-03,15,4,3613.00
604,2019-01-03,39,5,999.00
605,2019-01-03,24,2,6690.00
606,2019-01-03,3,1,377.00
607,2019-01-03,20,3,2669.00
608,2019-01-03,46,1,7358.00
609,2019-01-03,23,3,92.00
610,2019-01-03,29,1,7282.00
611,2019-01-03,4,5,3681.00
612,2019-01-03,5,2,5872.00
613,2019-01-03,30,4,591.00
614,2019-01-03,16,2,5144.00
615,2019-01-03,26,3,6832.00
616,2019-01-03,28,1,7094.00
617,2019-01-03,12,1,1296.00
618,2019-01-03,53,5,548.00
619,2019-01-03,2,5,7421.00
620,2019-01-03,50,5,923.00
621,2019-01-03,13,1,5309.00
622,2019-01-03,2,3,258.00
623,2019-01-03,36,2,5120.00
624,2019-01-03,43,3,7371.00
625,2019-01-03,19,5,2987.00
626,2019-01-03,26,1,3782.00
627,2019-01-03,7,4,2036.00
628,2019-01-03,9,3,3468.00
629,2019-01-03,34,3,3797.00
630,2019-01-03,6,4,1694.00
631,2019-01-03,40,2,6650.00
632,2019-01-03,18,2,946.00
633,2019-01-03,37,5,43.00
634,2019-01-03,49,1,1275.00
635,2019-01-03,5,4,934.00
636,2019-01-03,28,4,3036.00
637,2019-01-03,33,4,5177.00
638,2019-01-03,11,5,7316.00
639,2019-01-03,13,4,5648.00
640,2019-01-03,15,3,4608.00
641,2019-01-03,44,1,6164.00
642,2019-01-03,14,1,4442.00
643,2019-01-03,4,2,4631.00
644,2019-01-03,16,4,4372.00
645,2019-01-03,25,2,6213.00
646,2019-01-03,39,1,5449.00
647,2019-01-03,31,2,7851.00
648,2019-01-03,41,2,3327.00
649,2019-01-03,53,4,6014.00
650,2019-01-03,9,4,905.00
651,2019-01-03,29,2,7006.00
652,2019-01-03,33,3,5045.00
653,2019-01-03,21,1,5816.00
654,2019-01-03,50,3,7288.00
655,2019-01-03,39,3,5943.00
656,2019-01-03,41,3,227.00
657,2019-01-03,1,4,2694.00
658,2019-01-03,19,2,5750.00
659,2019-01-03,28,3,3107.00
660,2019-01-03,12,2,3504.00
661,2019-01-03,24,4,3832.00
662,2019-01-03,4,1,6786.00
663,2019-01-03,1,3,225.00
664,2019-01-03,19,4,1507.00
665,2019-01-03,46,2,1501.00
666,2019-01-03,32,4,3692.00
667,2019-01-03,13,5,3881.00
668,2019-01-03,4,3,4827.00
669,2019-01-03,46,3,7037.00
670,2019-01-03,49,5,3933.00
671,2019-01-03,5,3,4252.00
672,2019-01-03,22,4,5885.00
673,2019-01-03,36,1,3535.00
674,2019-01-03,15,5,5905.00
675,2019-01-03,41,4,843.00
676,2019-01-03,3,5,619.00
677,2019-01-03,24,1,1625.00
678,2019-01-03,31,1,4937.00
679,2019-01-03,35,1,3790.00
680,2019-01-03,8,5,4787.00
681,2019-01-03,37,3,28.00
682,2019-01-03,27,3,3912.00
683,2019-01-03,36,5,65.00
684,2019-01-03,45,3,4839.00
685,2019-01-03,45,5,1723.00
686,2019-01-03,22,1,4180.00
687,2019-01-03,38,2,6752.00
688,2019-01-03,54,4,3346.00
689,2019-01-03,14,2,1136.00
690,2019-01-03,41,5,2446.00
691,2019-01-03,28,5,3732.00
692,2019-01-03,56,4,4771.00
693,2019-01-03,39,4,1986.00
694,2019-01-03,55,4,3556.00
695,2019-01-03,7,2,1355.00
696,2019-01-03,51,5,6732.00
697,2019-01-03,54,3,3216.00
698,2019-01-03,21,5,2503.00
699,2019-01-03,51,4,97.00
700,2019-01-03,33,1,1846.00
701,2019-01-03,11,4,6725.00
702,2019-01-03,48,5,599.00
703,2019-01-03,35,4,684.00
704,2019-01-03,37,2,1846.00
705,2019-01-03,24,3,4381.00
706,2019-01-03,8,2,373.00
707,2019-01-03,54,1,1384.00
708,2019-01-03,5,5,7288.00
709,2019-01-03,18,3,3600.00
710,2019-01-03,11,2,919.00
711,2019-01-03,29,3,2443.00
712,2019-01-03,34,1,2187.00
713,2019-01-03,56,3,1280.00
714,2019-01-03,12,3,3045.00
715,2019-01-03,29,5,5485.00
716,2019-01-03,6,1,5619.00
717,2019-01-03,26,5,1953.00
718,2019-01-03,26,4,3063.00
719,2019-01-03,27,2,4542.00
720,2019-01-03,1,2,5458.00
721,2019-01-03,10,2,7184.00
722,2019-01-03,34,5,2168.00
723,2019-01-03,9,1,3662.00
724,2019-01-03,34,4,1693.00
725,2019-01-03,40,1,38.00
726,2019-01-03,53,1,7714.00
727,2019-01-03,26,2,4191.00
728,2019-01-03,18,5,6849.00
729,2019-01-03,42,5,6241.00
730,2019-01-03,1,1,7054.00
731,2019-01-03,25,5,7409.00
732,2019-01-03,27,5,5246.00
733,2019-01-03,45,4,1654.00
734,2019-01-03,3,3,6516.00
735,2019-01-03,2,4,7872.00
736,2019-01-03,31,4,3023.00
737,2019-01-03,3,4,6476.00
738,2019-01-03,27,4,2351.00
739,2019-01-03,55,5,7190.00
740,2019-01-03,35,5,773.00
741,2019-01-03,17,4,5446.00
742,2019-01-03,7,5,2665.00
743,2019-01-03,52,1,125.00
744,2019-01-03,48,1,3454.00
745,2019-01-03,41,1,1767.00
746,2019-01-03,39,2,6457.00
747,2019-01-03,8,1,96.00
748,2019-01-03,52,3,2253.00
749,2019-01-03,17,5,6874.00
750,2019-01-03,6,3,7579.00
751,2019-01-03,14,3,2814.00
752,2019-01-03,25,4,6930.00
753,2019-01-03,14,4,5191.00
754,2019-01-03,23,5,1028.00
755,2019-01-03,6,5,7980.00
756,2019-01-03,16,1,2984.00
757,2019-01-03,32,2,3092.00
758,2019-01-03,20,2,1513.00
759,2019-01-03,38,4,7804.00
760,2019-01-03,17,3,498.00
761,2019-01-03,54,5,213.00
762,2019-01-03,44,4,51.00
763,2019-01-03,20,1,7161.00
764,2019-01-03,19,1,2873.00
765,2019-01-03,47,2,2657.00
766,2019-01-03,52,2,7890.00
767,2019-01-03,35,3,5263.00
768,2019-01-03,22,5,5515.00
769,2019-01-03,35,2,2817.00
770,2019-01-03,18,1,3549.00
771,2019-01-03,1,5,5827.00
772,2019-01-03,45,1,3580.00
773,2019-01-03,42,2,4977.00
774,2019-01-03,22,3,5164.00
775,2019-01-03,47,3,250.00
776,2019-01-03,52,5,4213.00
777,2019-01-03,5,1,432.00
778,2019-01-03,46,4,93.00
779,2019-01-03,27,1,4535.00
780,2019-01-03,49,2,363.00
781,2019-01-03,23,1,2891.00
